title,duration,genre,time_slot,IsTV
Top Secret!,90.10755,Comedy,afternoon,False
Up in the Air,109.34395695,Drama|Romance,evening,False
Valerie and Her Week of Wonders,77.00968333333333,Fantasy|Adventure|Drama,evening,False
GalaxyRG265 - Vanishing.Point.1971.1080p.BluRay.DDP5.1.x265.10bit-GalaxyRG265,105.78613333333334,Action|Crime|Drama,evening,False
Destino - Walt Disney's & Salvador Dali,6.522872266666667,Unknown,evening,False
Roadrunner: A Film About Anthony Bourdain,119.15946666666666,Documentary,morning,False
No Country for Old Men,122.17205,Crime|Drama|Thriller,evening,False
Wild at Heart,124.92585,Crime|Thriller|Romance,evening,False
The Wailing,156.13795,Horror|Mystery,evening,False
Us,116.47946666666667,Horror|Thriller,evening,False
Mulholland Drive,146.57545,Thriller|Drama|Mystery,evening,False
Get Out,104.08604999833334,Mystery|Thriller|Horror,evening,False
Kung Fu Hustle,99.43306666666666,Action|Comedy|Crime|Fantasy,evening,False
The Matrix,136.30136666666667,Action|Science Fiction,evening,False
American Graffiti,112.49385,Comedy|Drama,evening,False
Redline,102.811,Action|Thriller,evening,False
Vertigo,128.46008888333333,Mystery|Romance|Thriller,evening,False
Enron: The Smartest Guys in the Room,109.47102833333334,Documentary,morning,False
Dead Poets Society,130.14683333333332,Drama,evening,False
The Quick and the Dead,107.77493333333334,Western|Action,evening,False
They Live,94.04583333333333,Science Fiction|Action,evening,False
Grand Prix,175.96546031666668,Action|Drama,evening,False
Sick of Myself,97.02221666666667,Comedy|Drama,evening,False
The Shining,143.78488333333334,Horror|Thriller,evening,False
The Big Short,130.26429206666666,Comedy|Drama,evening,False
V for Vendetta,132.54104913333333,Action|Thriller|Science Fiction,evening,False
Trafficked with Mariana van Zeller,47.0,Documentary|Crime|Reality,morning,True
Trafficked with Mariana van Zeller,47.0,Documentary|Crime|Reality,morning,True
World Peace Uncut EP 01 (true),11.184784716666666,Unknown,morning,True
Fentanyl,47.376,Unknown,morning,True
Counterfeiting,47.3772,Unknown,morning,True
Loyalty to the Master,80.32106666666667,Action|Crime|Thriller,morning,True
Braciole,47.6417,Comedy|Drama,morning,True
World Peace Uncut EP 03,11.50176805,Unknown,morning,True
Brigade,29.402233333333335,Comedy|Drama,morning,True
World Peace Uncut EP 06,12.500682633333334,Unknown,morning,True
System,27.801166666666667,Comedy|Drama,morning,True
World Peace Uncut EP 05,11.41765625,Unknown,morning,True
World Peace Uncut EP 02,11.337020133333333,Unknown,morning,True
Sheridan,25.349433331666667,Comedy|Drama,morning,True
Ceres,30.786766666666665,Comedy|Drama,morning,True
Review,20.322233333333333,Comedy|Drama,morning,True
Hands,31.345166666666668,Comedy|Drama,morning,True
Dogs,30.101433333333333,Comedy|Drama,morning,True
Berserk,23.0,Action & Adventure|Sci-Fi & Fantasy|Animation,morning,True
Berserk: Episode 06 (Zodd the Immortal),23.614733333333334,Animation|Action|Adventure,morning,True
Band of the Hawk,23.617583333333332,Animation|Action|Adventure,morning,True
The Hand of God,23.615266666666667,Animation|Action|Adventure,morning,True
A Wind of Swords,23.617583333333332,Animation|Action|Adventure,morning,True
First Battle,23.611883333333335,Animation|Action|Adventure,morning,True
The Black Swordsman,23.611883333333335,Animation|Action|Adventure,morning,True
Assassination,23.614733333333334,Animation|Action|Adventure,morning,True
Conspiracy,23.620416666666667,Animation|Action|Adventure,morning,True
The Sword`s Owner,23.61595,Animation|Action|Adventure,morning,True
Syn.beloi.loshadi,81.046,Unknown,evening,False
robot_carnvial_streamline_dub_VHS_rip,91.16666666666667,Unknown,evening,False
Junk Head,100.20373333333333,Animation|Action|Adventure,evening,False
PRIVILEGED.Title18,6.61155555,Unknown,evening,False
PRIVILEGED.Title9,1.77635555,Unknown,evening,False
PRIVILEGED.Title17,1.83395555,Unknown,evening,False
PRIVILEGED.Title4,1.5527111166666667,Unknown,evening,False
PRIVILEGED.Title14,1.69564445,Unknown,evening,False
PRIVILEGED.Title15,1.1559111166666667,Unknown,evening,False
UMOL.Title7,0.8312888833333333,Unknown,evening,False
A.Perfect.Planet.S01E00.Making.A.Perfect.Planet,49.5363,Unknown,evening,False
UMOL.Title13,1.0072888833333333,Unknown,evening,False
PRIVILEGED.Title10,2.3655111166666667,Unknown,evening,False
UMOL.Title14,1.6472011166666667,Unknown,evening,False
UMOL.Title17,1.4776888833333333,Unknown,evening,False
UMOL.Title5,1.8929777833333334,Unknown,evening,False
UMOL.Title2,67.10044445,Unknown,evening,False
PRIVILEGED.Title8,1.52924445,Unknown,evening,False
PRIVILEGED.Title5,1.0200888833333333,Unknown,evening,False
UMOL.Title12,2.31324445,Unknown,evening,False
UMOL.Title11,1.0737777833333333,Unknown,evening,False
UMOL.Title4,1.72195555,Unknown,evening,False
PRIVILEGED.Title11,0.5255111166666667,Unknown,evening,False
